city_id,year,new_center,revenue
1,2014,FALSE,68.73
1,2015,FALSE,79.12
1,2016,FALSE,91.7
1,2017,FALSE,153.88
1,2018,FALSE,194.55
1,2019,FALSE,257.52
1,2020,FALSE,367.44
1,2021,FALSE,467.36
1,2022,FALSE,356.35
1,2023,FALSE,356.87
2,2014,FALSE,115.61
2,2015,FALSE,143.91
2,2016,FALSE,150.36
2,2017,FALSE,209.02
2,2018,FALSE,252.25
2,2019,FALSE,279.28
2,2020,FALSE,451.98
2,2021,FALSE,423.98
2,2022,FALSE,305.76
2,2023,FALSE,291.42
4,2014,FALSE,79.19
4,2015,FALSE,79.88
4,2016,FALSE,124.62
4,2017,FALSE,114.66
4,2018,FALSE,201.64
4,2019,FALSE,347.61
4,2020,FALSE,489.62
4,2021,FALSE,509.08
4,2022,FALSE,487.75
4,2023,FALSE,366.5
7,2014,FALSE,92.03
7,2015,FALSE,62.75
7,2016,FALSE,106.33
7,2017,FALSE,118.09
7,2018,FALSE,196.67
7,2019,FALSE,278.85
7,2020,FALSE,387
7,2021,FALSE,447.62
7,2022,FALSE,357.49
7,2023,FALSE,325.53
8,2014,FALSE,78.78
8,2015,FALSE,107.77
8,2016,FALSE,153.93
8,2017,FALSE,129.77
8,2018,FALSE,223.63
8,2019,FALSE,248.29
8,2020,FALSE,339.65
8,2021,FALSE,426.66
8,2022,FALSE,330.76
8,2023,FALSE,384.26
9,2014,FALSE,92.76
9,2015,FALSE,101.36
9,2016,FALSE,127.36
9,2017,FALSE,150.75
9,2018,FALSE,255.15
9,2019,FALSE,286.01
9,2020,FALSE,407.35
9,2021,FALSE,420.56
9,2022,FALSE,364.51
9,2023,FALSE,360.51
10,2014,FALSE,94.59
10,2015,FALSE,85
10,2016,FALSE,92.93
10,2017,FALSE,139.86
10,2018,FALSE,232.1
10,2019,FALSE,244.48
10,2020,FALSE,424.64
10,2021,FALSE,407.3
10,2022,FALSE,363.06
10,2023,FALSE,348.59
12,2014,FALSE,120.04
12,2015,FALSE,89.06
12,2016,FALSE,127.86
12,2017,FALSE,108.47
12,2018,FALSE,267.63
12,2019,FALSE,260.41
12,2020,FALSE,316.97
12,2021,FALSE,402.9
12,2022,FALSE,340.94
12,2023,FALSE,367.89
13,2014,FALSE,134.32
13,2015,FALSE,72.4
13,2016,FALSE,143.26
13,2017,FALSE,114.28
13,2018,FALSE,230.41
13,2019,FALSE,213.8
13,2020,FALSE,358.97
13,2021,FALSE,410.92
13,2022,FALSE,415.03
13,2023,FALSE,303.83
15,2014,FALSE,130.93
15,2015,FALSE,137.79
15,2016,FALSE,145.91
15,2017,FALSE,185.66
15,2018,FALSE,222.05
15,2019,FALSE,273.03
15,2020,FALSE,326.33
15,2021,FALSE,491.77
15,2022,FALSE,325.28
15,2023,FALSE,309.17
17,2014,FALSE,136.67
17,2015,FALSE,123.19
17,2016,FALSE,182.84
17,2017,FALSE,204.99
17,2018,FALSE,270.77
17,2019,FALSE,357.41
17,2020,FALSE,451.67
17,2021,FALSE,520.57
17,2022,FALSE,429.2
17,2023,FALSE,424.22
18,2014,FALSE,76.92
18,2015,FALSE,90.74
18,2016,FALSE,129.19
18,2017,FALSE,156.57
18,2018,FALSE,226.14
18,2019,FALSE,265.61
18,2020,FALSE,367.01
18,2021,FALSE,349.35
18,2022,FALSE,316.01
18,2023,FALSE,366.06
19,2014,FALSE,96.9
19,2015,FALSE,91.23
19,2016,FALSE,119.96
19,2017,FALSE,113.77
19,2018,FALSE,209.4
19,2019,FALSE,230.63
19,2020,FALSE,343.12
19,2021,FALSE,431.31
19,2022,FALSE,318.83
19,2023,FALSE,335.26
20,2014,FALSE,119.82
20,2015,FALSE,119.65
20,2016,FALSE,179.29
20,2017,FALSE,186.99
20,2018,FALSE,244.19
20,2019,FALSE,230.03
20,2020,FALSE,420.25
20,2021,FALSE,460.83
20,2022,FALSE,349.08
20,2023,FALSE,336.49
21,2014,FALSE,98.44
21,2015,FALSE,89.03
21,2016,FALSE,115.86
21,2017,FALSE,158.12
21,2018,FALSE,208.34
21,2019,FALSE,229.23
21,2020,FALSE,496.02
21,2021,FALSE,409.17
21,2022,FALSE,378.79
21,2023,FALSE,379.18
22,2014,FALSE,122.83
22,2015,FALSE,143.84
22,2016,FALSE,153.05
22,2017,FALSE,180.89
22,2018,FALSE,275.64
22,2019,FALSE,317.73
22,2020,FALSE,374.48
22,2021,FALSE,478.9
22,2022,FALSE,366.32
22,2023,FALSE,260.85
23,2014,FALSE,101.11
23,2015,FALSE,118.73
23,2016,FALSE,73.32
