city_id,year,center,construction_year,revenue
1,2014,0,NA,68.73
1,2015,0,NA,79.12
1,2016,0,NA,91.7
1,2017,0,NA,153.88
1,2018,0,NA,194.55
1,2019,0,NA,257.52
1,2020,0,NA,367.44
1,2021,0,NA,467.36
1,2022,0,NA,356.35
1,2023,0,NA,356.87
2,2014,0,NA,115.61
2,2015,0,NA,143.91
2,2016,0,NA,150.36
2,2017,0,NA,209.02
2,2018,0,NA,252.25
2,2019,0,NA,279.28
2,2020,0,NA,451.98
2,2021,0,NA,423.98
2,2022,0,NA,305.76
2,2023,0,NA,291.42
3,2014,0,2021,263.94
3,2015,0,2021,241.43
3,2016,0,2021,305.29
3,2017,0,2021,274.62
3,2018,0,2021,317.44
3,2019,0,2021,351.98
3,2020,0,2021,463.7
3,2021,0,2021,563.28
3,2022,1,2021,392.77
3,2023,1,2021,443.06
4,2014,0,NA,79.19
4,2015,0,NA,79.88
4,2016,0,NA,124.62
4,2017,0,NA,114.66
4,2018,0,NA,201.64
4,2019,0,NA,347.61
4,2020,0,NA,489.62
4,2021,0,NA,509.08
4,2022,0,NA,487.75
4,2023,0,NA,366.5
5,2014,0,2022,163.12
5,2015,0,2022,142.27
5,2016,0,2022,184.19
5,2017,0,2022,165.42
5,2018,0,2022,273.44
5,2019,0,2022,241.69
5,2020,0,2022,339.01
5,2021,0,2022,379.31
5,2022,0,2022,322.09
5,2023,1,2022,357.69
6,2014,0,2022,203.93
6,2015,0,2022,233.98
6,2016,0,2022,246.53
6,2017,0,2022,251.77
6,2018,0,2022,283.1
6,2019,0,2022,338.19
6,2020,0,2022,432.39
6,2021,0,2022,515.4
6,2022,0,2022,380.59
6,2023,1,2022,353.43
7,2014,0,NA,92.03
7,2015,0,NA,62.75
7,2016,0,NA,106.33
7,2017,0,NA,118.09
7,2018,0,NA,196.67
7,2019,0,NA,278.85
7,2020,0,NA,387
7,2021,0,NA,447.62
7,2022,0,NA,357.49
7,2023,0,NA,325.53
8,2014,0,NA,78.78
8,2015,0,NA,107.77
8,2016,0,NA,153.93
8,2017,0,NA,129.77
8,2018,0,NA,223.63
8,2019,0,NA,248.29
8,2020,0,NA,339.65
8,2021,0,NA,426.66
8,2022,0,NA,330.76
8,2023,0,NA,384.26
9,2014,0,NA,92.76
9,2015,0,NA,101.36
9,2016,0,NA,127.36
9,2017,0,NA,150.75
9,2018,0,NA,255.15
9,2019,0,NA,286.01
9,2020,0,NA,407.35
9,2021,0,NA,420.56
9,2022,0,NA,364.51
9,2023,0,NA,360.51
10,2014,0,NA,94.59
10,2015,0,NA,85
10,2016,0,NA,92.93
10,2017,0,NA,139.86
10,2018,0,NA,232.1
10,2019,0,NA,244.48
10,2020,0,NA,424.64
10,2021,0,NA,407.3
10,2022,0,NA,363.06
10,2023,0,NA,348.59
11,2014,0,2021,217.04
11,2015,0,2021,191.47
11,2016,0,2021,254.22
11,2017,0,2021,254.05
11,2018,0,2021,325.63
11,2019,0,2021,353.52
11,2020,0,2021,489.04
11,2021,0,2021,508.48
11,2022,1,2021,500.22
11,2023,1,2021,479.48
12,2014,0,NA,120.04
12,2015,0,NA,89.06
12,2016,0,NA,127.86
12,2017,0,NA,108.47
12,2018,0,NA,267.63
12,2019,0,NA,260.41
12,2020,0,NA,316.97
12,2021,0,NA,402.9
12,2022,0,NA,340.94
12,2023,0,NA,367.89
13,2014,0,NA,134.32
13,2015,0,NA,72.4
13,2016,0,NA,143.26
13,2017,0,NA,114.28
13,2018,0,NA,230.41
13,2019,0,NA,213.8
13,2020,0,NA,358.97
13,2021,0,NA,410.92
13,2022,0,NA,415.03
13,2023,0,NA,303.83
14,2014,0,2019,165.71
14,2015,0,2019,127.04
14,2016,0,2019,147.28
14,2017,0,2019,158.52
14,2018,0,2019,211.21
14,2019,0,2019,290.52
14,2020,1,2019,418.52
14,2021,1,2019,335.49
14,2022,1,2019,330.79
14,2023,1,2019,300.31
15,2014,0,NA,130.93
15,2015,0,NA,137.79
15,2016,0,NA,145.91
15,2017,0,NA,185.66
15,2018,0,NA,222.05
15,2019,0,NA,273.03
15,2020,0,NA,326.33
15,2021,0,NA,491.77
15,2022,0,NA,325.28
15,2023,0,NA,309.17
16,2014,0,2014,70.97
16,2015,1,2014,157.63
16,2016,1,2014,120.82
16,2017,1,2014,191.5
16,2018,1,2014,259.28
16,2019,1,2014,363.56
16,2020,1,2014,491.89
16,2021,1,2014,442.25
16,2022,1,2014,331.9
16,2023,1,2014,518.25
17,2014,0,NA,136.67
17,2015,0,NA,123.19
17,2016,0,NA,182.84
17,2017,0,NA,204.99
17,2018,0,NA,270.77
17,2019,0,NA,357.41
17,2020,0,NA,451.67
17,2021,0,NA,520.57
17,2022,0,NA,429.2
17,2023,0,NA,424.22
18,2014,0,NA,76.92
18,2015,0,NA,90.74
18,2016,0,NA,129.19
18,2017,0,NA,156.57
18,2018,0,NA,226.14
18,2019,0,NA,265.61
18,2020,0,NA,367.01
18,2021,0,NA,349.35
18,2022,0,NA,316.01
18,2023,0,NA,366.06
19,2014,0,NA,96.9
19,2015,0,NA,91.23
19,2016,0,NA,119.96
19,2017,0,NA,113.77
19,2018,0,NA,209.4
19,2019,0,NA,230.63
19,2020,0,NA,343.12
19,2021,0,NA,431.31
19,2022,0,NA,318.83
19,2023,0,NA,335.26
20,2014,0,NA,119.82
20,2015,0,NA,119.65
20,2016,0,NA,179.29
20,2017,0,NA,186.99
20,2018,0,NA,244.19
20,2019,0,NA,230.03
20,2020,0,NA,420.25
20,2021,0,NA,460.83
20,2022,0,NA,349.08
20,2023,0,NA,336.49
21,2014,0,NA,98.44
21,2015,0,NA,89.03
21,2016,0,NA,115.86
21,2017,0,NA,158.12
21,2018,0,NA,208.34
21,2019,0,NA,229.23
21,2020,0,NA,496.02
21,2021,0,NA,409.17
21,2022,0,NA,378.79
21,2023,0,NA,379.18
22,2014,0,NA,122.83
22,2015,0,NA,143.84
22,2016,0,NA,153.05
22,2017,0,NA,180.89
22,2018,0,NA,275.64
22,2019,0,NA,317.73
22,2020,0,NA,374.48
22,2021,0,NA,478.9
22,2022,0,NA,366.32
22,2023,0,NA,260.85
23,2014,0,NA,101.11
23,2015,0,NA,118.73
23,2016,0,NA,73.32
23,2017,0,NA,123.13
23,2018,0,NA,225.61
23,2019,0,NA,275.19
23,2020,0,NA,348.57
23,2021,0,NA,449.44
23,2022,0,NA,334.62
23,2023,0,NA,314.9
24,2014,0,NA,55.07
24,2015,0,NA,98.43
24,2016,0,NA,116.24
24,2017,0,NA,152.78
24,2018,0,NA,268.61
24,2019,0,NA,259.09
24,2020,0,NA,384.18
24,2021,0,NA,403.75
24,2022,0,NA,354.86
24,2023,0,NA,415.59
25,2014,0,NA,122.69
25,2015,0,NA,105.15
25,2016,0,NA,129.68
25,2017,0,NA,122.52
25,2018,0,NA,184.76
25,2019,0,NA,273.79
25,2020,0,NA,410.55
25,2021,0,NA,397.97
25,2022,0,NA,282.52
25,2023,0,NA,367.07
26,2014,0,NA,84.76
26,2015,0,NA,94.28
26,2016,0,NA,90.18
26,2017,0,NA,159.54
26,2018,0,NA,229.49
26,2019,0,NA,228.51
26,2020,0,NA,374.52
26,2021,0,NA,407.3
26,2022,0,NA,365.91
26,2023,0,NA,277.68
27,2014,0,NA,91.55
27,2015,0,NA,94.38
27,2016,0,NA,121.89
27,2017,0,NA,135.57
27,2018,0,NA,222.41
27,2019,0,NA,285.15
27,2020,0,NA,384.81
27,2021,0,NA,450.79
27,2022,0,NA,387.66
27,2023,0,NA,374.35
28,2014,0,NA,77.71
28,2015,0,NA,108.6
28,2016,0,NA,109.76
28,2017,0,NA,115.73
28,2018,0,NA,217.09
28,2019,0,NA,315.55
28,2020,0,NA,356.9
28,2021,0,NA,414.21
28,2022,0,NA,325.65
28,2023,0,NA,419.33
29,2014,0,NA,73.51
29,2015,0,NA,107.01
29,2016,0,NA,136.3
29,2017,0,NA,157.19
29,2018,0,NA,227.15
29,2019,0,NA,277.86
29,2020,0,NA,405.57
29,2021,0,NA,454.77
29,2022,0,NA,328.65
29,2023,0,NA,372.52
30,2014,0,2019,122.24
30,2015,0,2019,110.06
30,2016,0,2019,92.87
30,2017,0,2019,134.62
30,2018,0,2019,170.33
30,2019,0,2019,279.82
30,2020,1,2019,414.34
30,2021,1,2019,443.75
30,2022,1,2019,377.54
